layer,rho,method,energy,energy_heldout
0,0.5,a,0.9999999879484934,0.999999987412128
0,0.5,d,0.9997238610852949,0.9997191868042791
0,0.5,e,0.9996167017416228,0.9996109020111075
0,0.5,d_bd,0.9982119066697679,0.998194267965943
0,0.5,b,0.9944406771753351,0.9944150380849198
0,0.5,bp,0.9942653848304667,0.9942325214759011
0,0.5,c,0.9980530289373394,0.9980349145519193
0,0.5,cp,0.9980080813867369,0.9979899771040808
0,0.25,a,0.9999998045249793,0.9999998003562588
0,0.25,d,0.9970022605954034,0.9969715308257685
0,0.25,e,0.9968324338111892,0.9967989315745299
0,0.25,d_bd,0.9897552408776962,0.9896892312936542
0,0.25,b,0.973654133701525,0.9735653109379109
0,0.25,bp,0.9727105738090445,0.9726217332822449
0,0.25,c,0.9890587014075327,0.9889857965029547
0,0.25,cp,0.9888342829253871,0.9887587648889945
0,0.125,a,0.9999983575385092,0.9999983402082538
0,0.125,d,0.98814990555266,0.9880821006032917
0,0.125,e,0.9869687547268975,0.9868831403758693
0,0.125,d_bd,0.9679828394168587,0.9678557627669501
0,0.125,b,0.9061310826743177,0.9059462883395695
0,0.125,bp,0.9005896090526679,0.9003761544040567
0,0.125,c,0.9659347305768607,0.9658009359202973
0,0.125,cp,0.964895929520202,0.9647603457974245
1,0.5,a,0.9999983343671475,0.9999982635908269
1,0.5,d,0.998017969934863,0.9980121000673463
1,0.5,e,0.9976755651462706,0.9976769256031822
1,0.5,d_bd,0.9955924937189579,0.9955972974972181
1,0.5,b,0.9924087655505737,0.992413233773309
1,0.5,bp,0.990594518834317,0.9905858522747564
1,0.5,c,0.9953835303509898,0.9953887231656922
1,0.5,cp,0.9941399886336171,0.9941411180722103
1,0.25,a,0.9999620903085005,0.9999612585336909
1,0.25,d,0.9893178044636514,0.9893229433965338
1,0.25,e,0.986954384962849,0.9869851419745391
1,0.25,d_bd,0.9784256883270889,0.9784478713370375
1,0.25,b,0.9669104047302267,0.9669236155939369
1,0.25,bp,0.9603208473054232,0.9603706864177902
1,0.25,c,0.9774070016769945,0.9774337392049661
1,0.25,cp,0.9716934564261984,0.9717468843231273
1,0.125,a,0.9996877298747093,0.9996840149333517
1,0.125,d,0.972093097366884,0.9720997755141608
1,0.125,e,0.9638368560190568,0.9639104935173185
1,0.125,d_bd,0.9495153899929414,0.9495859371818338
1,0.125,b,0.9253213698855863,0.9254169352389103
1,0.125,bp,0.9212198527751798,0.9213224516082142
1,0.125,c,0.9478642035004547,0.9479368469113251
1,0.125,cp,0.9421766227943087,0.9422889071982898
2,0.5,a,0.9999108975157468,0.9999078806518318
2,0.5,d,0.9931518577990788,0.9931167063773009
2,0.5,e,0.9920600083909408,0.9920650600920214
2,0.5,d_bd,0.9886440753871919,0.9886527494322536
2,0.5,b,0.9845661045840047,0.9845730652822652
2,0.5,bp,0.9762537147699234,0.9762959126754944
2,0.5,c,0.9881180339924753,0.9881272386945111
2,0.5,cp,0.9818833827087587,0.9819092064252709
2,0.25,a,0.9987944399905556,0.9987721432118204
2,0.25,d,0.9780245085871221,0.9779818313471544
2,0.25,e,0.9722878117802184,0.9723220416289284
2,0.25,d_bd,0.964323910164432,0.9643634923858267
2,0.25,b,0.9526089714205227,0.9526706957823282
2,0.25,bp,0.9437224253710057,0.9438283177118231
2,0.25,c,0.9629973004079111,0.9630406453842253
2,0.25,cp,0.9553930855485655,0.9554767333182744
2,0.125,a,0.9952683727173356,0.9952211269120703
2,0.125,d,0.9596769412882745,0.9596823309263753
2,0.125,e,0.94973799615174,0.9498158932312849
2,0.125,d_bd,0.9377531891653904,0.9378380572273933
2,0.125,b,0.9195493574686594,0.9197052396042846
2,0.125,bp,0.9138944681908682,0.9140774312282273
2,0.125,c,0.936056680727106,0.9361543788695547
2,0.125,cp,0.9295361625938944,0.9296456782150911
3,0.5,a,0.9990307208005932,0.9990050147883744
