src,rho,method,layer,kl,relL2
c4,0.125,a,0,3.1513234773683505e-07,0.00037066699471324685
c4,0.125,a,1,0.00028274098585825416,0.021633303947746752
c4,0.125,a,2,0.0038004499906674027,0.13259909108281134
c4,0.125,a,3,0.007436750689521432,0.2006578129529953
c4,0.125,a,4,0.010295522380620242,0.2111758014559746
c4,0.125,a,5,0.011065815072506667,0.21731596142053605
c4,0.125,a,6,0.019083545170724393,0.24147703230381012
c4,0.125,a,7,0.01991308145225048,0.254678096473217
c4,0.125,a,8,0.024063345305621625,0.2538806790113449
c4,0.125,a,9,0.02755098566412926,0.2483821251988411
c4,0.125,a,10,0.029873418807983398,0.24800425827503203
c4,0.125,a,11,0.03465633925050497,0.2895591139793396
c4,0.125,a,12,0.02935215160250664,0.25342206537723544
c4,0.125,a,13,0.028025409504771233,0.22717076390981675
c4,0.125,a,14,0.03275573447346687,0.2585125121474266
c4,0.125,a,15,0.038268880657851695,0.29072888910770417
c4,0.125,a,16,0.03119581162929535,0.22588902115821838
c4,0.125,a,17,0.029666429199278355,0.2883944112062454
c4,0.125,a,18,0.028477987237274648,0.31692813098430633
c4,0.125,a,19,0.026779906302690507,0.30912683069705965
c4,0.125,a,20,0.028579133003950118,0.24682153701782228
c4,0.125,a,21,0.02926866564899683,0.3442133629322052
c4,0.125,a,22,0.03666563998907804,0.3383109498023987
c4,0.125,a,23,0.036952635049819944,0.38908726334571836
c4,0.125,a,24,0.0363275183737278,0.29825201630592346
c4,0.125,a,25,0.041555037051439286,0.4099970757961273
c4,0.125,a,26,0.04274968221783638,0.31255528807640076
c4,0.125,a,27,0.044704333767294886,0.3953939801454544
c4,0.125,a,28,0.050129126086831094,0.36670302748680117
c4,0.125,a,29,0.04331554755568504,0.27348948806524276
c4,0.125,a,30,0.0403426780551672,0.31634179532527923
c4,0.125,a,31,0.06761228814721107,0.27685350030660627
c4,0.125,b,0,0.05068634144961834,0.31383702754974363
c4,0.125,b,1,0.13156323581933976,0.5611107277870179
c4,0.125,b,2,0.05522389888763428,0.6217875921726227
c4,0.125,b,3,0.05750212132930756,0.6321041321754456
c4,0.125,b,4,0.07116215959191323,0.6746356630325318
c4,0.125,b,5,0.08258324548602104,0.6052856945991516
c4,0.125,b,6,0.13501208037137985,0.6649483025074006
c4,0.125,b,7,0.15650613263249397,0.703841382265091
c4,0.125,b,8,0.16135056883096696,0.7084207475185395
c4,0.125,b,9,0.19186995506286622,0.7416654670238495
c4,0.125,b,10,0.2425178024172783,0.742657859325409
c4,0.125,b,11,0.2284092152118683,0.6990319561958312
c4,0.125,b,12,0.2206161919236183,0.7518182289600372
c4,0.125,b,13,0.20753460109233857,0.6522527587413788
c4,0.125,b,14,0.26252038806676864,0.6767322945594788
c4,0.125,b,15,0.23974184304475785,0.6990981435775757
c4,0.125,b,16,0.2433514851331711,0.6170862734317779
c4,0.125,b,17,0.24421086221933364,0.7537549757957458
c4,0.125,b,18,0.1607361775636673,0.7557658767700195
c4,0.125,b,19,0.1794933333992958,0.7478393161296845
c4,0.125,b,20,0.19853303611278533,0.6516735422611236
c4,0.125,b,21,0.1710576993227005,0.7373907840251923
c4,0.125,b,22,0.19605472326278686,0.7695171844959259
c4,0.125,b,23,0.16382693350315095,0.7346917879581452
c4,0.125,b,24,0.19433655709028244,0.656776933670044
c4,0.125,b,25,0.1678159788250923,0.7795425963401794
c4,0.125,b,26,0.1969750264286995,0.6231190466880798
c4,0.125,b,27,0.17658960908651353,0.7621884155273437
c4,0.125,b,28,0.19797539621591567,0.6844794464111328
c4,0.125,b,29,0.2198469915986061,0.6058557879924774
c4,0.125,b,30,0.20468256920576094,0.6701773345470429
c4,0.125,b,31,0.3245457965135574,0.6449842953681946
c4,0.125,bp,0,0.05664589807391167,0.3269990062713623
c4,0.125,bp,1,0.15738639026880263,0.6605257356166839
c4,0.125,bp,2,0.05948831468820572,0.6430255472660065
c4,0.125,bp,3,0.07008573725819588,0.67262788772583
c4,0.125,bp,4,0.08562683701515197,0.7205404913425446
c4,0.125,bp,5,0.09779118865728378,0.6518384170532227
c4,0.125,bp,6,0.2217479255795479,0.7899104952812195
c4,0.125,bp,7,0.24788399308919906,0.7915031456947327
c4,0.125,bp,8,0.2292309245467186,0.7801273763179779
c4,0.125,bp,9,0.2445684379339218,0.7883002531528472
c4,0.125,bp,10,0.3337450018525124,0.8311417949199676
c4,0.125,bp,11,0.3947833305597305,0.7956856215000152
c4,0.125,bp,12,0.32829412937164304,0.8577736032009124
c4,0.125,bp,13,0.30057415962219236,0.7352050685882568
c4,0.125,bp,14,0.47938968300819396,0.8360543990135193
c4,0.125,bp,15,0.32901612401008606,0.7700135278701782
c4,0.125,bp,16,0.34851083099842073,0.7256142830848694
c4,0.125,bp,17,0.3324584484100342,0.83471351146698
c4,0.125,bp,18,0.21870751589536666,0.8312051284313202
c4,0.125,bp,19,0.24302144557237626,0.8239080274105072
c4,0.125,bp,20,0.27041006207466123,0.739993085861206
c4,0.125,bp,21,0.2425354912877083,0.8312201976776123
c4,0.125,bp,22,0.2394101557135582,0.8101187193393707
c4,0.125,bp,23,0.20482181876897812,0.77966876745224
c4,0.125,bp,24,0.2575233834981918,0.7205946457386017
c4,0.125,bp,25,0.21442944347858428,0.8331927168369293
c4,0.125,bp,26,0.25535510152578356,0.6857659351825715
c4,0.125,bp,27,0.19249146342277526,0.8084538090229034
c4,0.125,bp,28,0.23521973371505736,0.7374227595329285
c4,0.125,bp,29,0.2928483307361603,0.6785747694969178
c4,0.125,bp,30,0.22534438282251357,0.6808748543262482
c4,0.125,bp,31,0.3899674266576767,0.7976670217514038
c4,0.125,c,0,0.030447106622159482,0.1934402510523796
c4,0.125,c,1,0.08533202469348908,0.4775510859489441
c4,0.125,c,2,0.04369385495781899,0.5502603769302368
c4,0.125,c,3,0.047175100073218346,0.5885702979564666
c4,0.125,c,4,0.058532456308603285,0.605885181427002
c4,0.125,c,5,0.06803717002272607,0.5475833737850189
c4,0.125,c,6,0.11850709095597267,0.6211183202266694
c4,0.125,c,7,0.12995443776249885,0.6591757369041443
c4,0.125,c,8,0.13679465025663376,0.6530712866783142
c4,0.125,c,9,0.16069659620523452,0.6634881341457367
c4,0.125,c,10,0.19753845542669296,0.6813268673419952
c4,0.125,c,11,0.1916119685769081,0.657552011013031
c4,0.125,c,12,0.18819251239299775,0.68953568816185
c4,0.125,c,13,0.18351653844118118,0.6112855684757232
c4,0.125,c,14,0.22689613193273545,0.6363876044750214
c4,0.125,c,15,0.2122577366232872,0.6639658308029175
c4,0.125,c,16,0.20897898972034454,0.5720325374603271
c4,0.125,c,17,0.23154653191566468,0.7125297176837921
c4,0.125,c,18,0.14337287127971649,0.6911212742328644
c4,0.125,c,19,0.16141292184591294,0.7042342829704284
c4,0.125,c,20,0.1780143305659294,0.6313130068778992
c4,0.125,c,21,0.1606869262456894,0.7186047196388244
c4,0.125,c,22,0.17605578988790513,0.729688149690628
c4,0.125,c,23,0.15273489341139793,0.7113954973220825
c4,0.125,c,24,0.17333014726638793,0.6212083327770234
c4,0.125,c,25,0.1516627275943756,0.7518210089206696
c4,0.125,c,26,0.17490077912807464,0.5885567653179169
c4,0.125,c,27,0.16131533801555634,0.7187194764614105
c4,0.125,c,28,0.1851072096824646,0.6607968890666962
c4,0.125,c,29,0.1999979215860367,0.5901791226863861
c4,0.125,c,30,0.1850254651904106,0.6471420729160309
c4,0.125,c,31,0.28227161169052123,0.6184414649009704
c4,0.125,d,0,0.006203653011471033,0.06703057274222374
c4,0.125,d,1,0.03129709083586931,0.2914391630887985
c4,0.125,d,2,0.019957491010427476,0.399601069688797
c4,0.125,d,3,0.02550607845187187,0.44679577589035036
c4,0.125,d,4,0.028285073786973952,0.42006984233856204
c4,0.125,d,5,0.03699004575610161,0.4089632433652878
c4,0.125,d,6,0.05578070841729641,0.4344212228059769
c4,0.125,d,7,0.0612134899944067,0.4707788687944412
c4,0.125,d,8,0.06837532468140126,0.46681406438350675
c4,0.125,d,9,0.084279223382473,0.4841739785671234
c4,0.125,d,10,0.10297940403223038,0.5844765937328339
c4,0.125,d,11,0.08744397535920143,0.4651319980621338
c4,0.125,d,12,0.08744233638048172,0.4774020254611969
c4,0.125,d,13,0.08878293111920357,0.4379850125312805
c4,0.125,d,14,0.10146248385310173,0.4541328525543213
c4,0.125,d,15,0.11078261345624923,0.5067966055870056
c4,0.125,d,16,0.10210119873285294,0.4172071623802185
c4,0.125,d,17,0.10773925185203552,0.5713754457235336
c4,0.125,d,18,0.07901196159422398,0.5357966953516007
c4,0.125,d,19,0.0841993498057127,0.553518283367157
c4,0.125,d,20,0.09251007601618767,0.45654154658317564
c4,0.125,d,21,0.0873439408838749,0.5833306634426116
c4,0.125,d,22,0.10264661982655525,0.5697601330280304
c4,0.125,d,23,0.10000436291098595,0.6328962349891663
c4,0.125,d,24,0.10094172462821006,0.5024747240543366
c4,0.125,d,25,0.09764384210109711,0.6420589542388916
c4,0.125,d,26,0.10391173273324966,0.4831615483760834
c4,0.125,d,27,0.11238328620791435,0.6250674569606781
c4,0.125,d,28,0.11819219887256623,0.5793184226751328
c4,0.125,d,29,0.11052485272288322,0.46154520750045774
c4,0.125,d,30,0.11654476150870323,0.5570456159114837
c4,0.125,d,31,0.16780958890914918,0.4141699486970902
c4,0.25,a,0,5.647298195299299e-08,0.00022929963277420028
c4,0.25,a,1,2.06736893960624e-05,0.0058274969924241304
c4,0.25,a,2,0.0012166387122124435,0.07127043053507805
c4,0.25,a,3,0.0037391278799623253,0.13837685331702232
c4,0.25,a,4,0.005227086674422026,0.149740631878376
c4,0.25,a,5,0.005922094201669097,0.16336523085832597
c4,0.25,a,6,0.01047248838469386,0.1901276272535324
c4,0.25,a,7,0.011260417625308036,0.1999031984806061
c4,0.25,a,8,0.013101096134632825,0.2048387795686722
c4,0.25,a,9,0.015728796403855085,0.18876687824726104
c4,0.25,a,10,0.01600219864398241,0.18014479339122771
c4,0.25,a,11,0.018180768452584744,0.22882557213306426
c4,0.25,a,12,0.016297247353941204,0.19366759926080704
c4,0.25,a,13,0.014895952884107827,0.16692457258701324
c4,0.25,a,14,0.01770601822063327,0.19196167707443237
c4,0.25,a,15,0.022572749629616737,0.22465865612030028
c4,0.25,a,16,0.017186716254800557,0.16709387063980102
c4,0.25,a,17,0.0156721106544137,0.19338954538106917
c4,0.25,a,18,0.016754605062305927,0.2305551478266716
c4,0.25,a,19,0.014576134569942951,0.21372980177402495
c4,0.25,a,20,0.015479343924671412,0.17152796119451522
c4,0.25,a,21,0.01408568598330021,0.21588264137506485
c4,0.25,a,22,0.019121332243084908,0.23301132172346115
c4,0.25,a,23,0.018897978737950325,0.2548483633995056
c4,0.25,a,24,0.018967982307076456,0.1962904688715935
c4,0.25,a,25,0.023422652669250966,0.28220212578773496
c4,0.25,a,26,0.025325443409383298,0.22952392250299453
c4,0.25,a,27,0.024303870983421804,0.2746995383501053
c4,0.25,a,28,0.02890546042472124,0.24941443890333176
c4,0.25,a,29,0.02353397022932768,0.19129927188158036
c4,0.25,a,30,0.02124114543199539,0.21137626677751542
c4,0.25,a,31,0.03753151834011078,0.16770397543907165
c4,0.25,b,0,0.019403218049556015,0.16493385553359985
c4,0.25,b,1,0.05882067792117596,0.3465397256612778
c4,0.25,b,2,0.030913127548992635,0.45621021270751955
c4,0.25,b,3,0.030526894219219683,0.4876137828826904
c4,0.25,b,4,0.041244053542613984,0.5181547504663467
c4,0.25,b,5,0.04705420315265656,0.4605225849151611
c4,0.25,b,6,0.06810975179076195,0.482471832036972
c4,0.25,b,7,0.07834923654794693,0.543112405538559
c4,0.25,b,8,0.08632120862603188,0.5524324595928192
c4,0.25,b,9,0.11241172835230827,0.6367004632949829
c4,0.25,b,10,0.14223218768835066,0.6178426110744476
c4,0.25,b,11,0.11001719191670417,0.5439921283721924
c4,0.25,b,12,0.12352833569049836,0.5727255392074585
c4,0.25,b,13,0.11956468909978867,0.5188431066274642
c4,0.25,b,14,0.1438979336619377,0.539809519648552
c4,0.25,b,15,0.1392628724873066,0.5685100936889649
c4,0.25,b,16,0.13759757518768312,0.4809365338087082
c4,0.25,b,17,0.14989766538143157,0.6365458965301514
c4,0.25,b,18,0.09656509801745415,0.6065247476100921
c4,0.25,b,19,0.1040406347811222,0.6035057294368744
c4,0.25,b,20,0.11837991297245026,0.5108651065826416
c4,0.25,b,21,0.10044715896248818,0.6114292240142822
c4,0.25,b,22,0.12257695898413658,0.6462119436264038
c4,0.25,b,23,0.09819829687476159,0.6145166504383087
c4,0.25,b,24,0.11426407486200332,0.5323747342824936
c4,0.25,b,25,0.10001282274723053,0.6611357116699219
c4,0.25,b,26,0.11843027368187904,0.5020726829767227
c4,0.25,b,27,0.1152870962023735,0.6269001078605652
c4,0.25,b,28,0.13158172771334647,0.5945734924077988
c4,0.25,b,29,0.13041752725839614,0.49014563143253326
c4,0.25,b,30,0.13852430179715156,0.5824015682935715
c4,0.25,b,31,0.2012052443623543,0.4441175442934036
c4,0.25,bp,0,0.02119536068290472,0.17075408399105071
c4,0.25,bp,1,0.07554651156067849,0.4014138603210449
c4,0.25,bp,2,0.038477756269276145,0.5193363344669342
c4,0.25,bp,3,0.041575257256627085,0.5529801350831985
c4,0.25,bp,4,0.05279061071574688,0.587285087108612
c4,0.25,bp,5,0.05803668014705181,0.5217969876527786
c4,0.25,bp,6,0.11199258342385292,0.6102683353424072
c4,0.25,bp,7,0.1316238322854042,0.6647701358795166
c4,0.25,bp,8,0.13036370381712914,0.6360413444042206
c4,0.25,bp,9,0.14908820807933806,0.680369621515274
c4,0.25,bp,10,0.19354138523340225,0.6991906595230103
c4,0.25,bp,11,0.22760953307151793,0.6859508669376373
c4,0.25,bp,12,0.20245813429355622,0.7320551800727845
c4,0.25,bp,13,0.17903297930955886,0.6123735105991364
c4,0.25,bp,14,0.27635978430509567,0.692349568605423
