src,seq,layer,method,rho,kl,relL2
c4,0,0,a,0.5,1.3388057773511264e-08,0.00017790393030736595
c4,0,0,a,0.25,5.582047890584363e-08,0.0002306426176801324
c4,0,0,a,0.125,3.158664299007796e-07,0.0003758967504836619
c4,0,0,b,0.5,0.003752474905923009,0.0830058827996254
c4,0,0,b,0.25,0.020884104073047638,0.17736132442951202
c4,0,0,b,0.125,0.05365867540240288,0.3233557939529419
c4,0,0,bp,0.5,0.004377853125333786,0.09085552394390106
c4,0,0,bp,0.25,0.022893857210874557,0.18321602046489716
c4,0,0,bp,0.125,0.0596604123711586,0.33518901467323303
c4,0,0,c,0.5,0.0012350251199677587,0.04706404730677605
c4,0,0,c,0.25,0.010593109764158726,0.11904627829790115
c4,0,0,c,0.125,0.032711200416088104,0.20747405290603638
c4,0,0,d,0.5,6.392489012796432e-05,0.0060656433925032616
c4,0,0,d,0.25,0.0013047934044152498,0.02957693487405777
c4,0,0,d,0.125,0.00648877676576376,0.06905387341976166
c4,0,1,a,0.5,7.78684920987871e-07,0.001011726912111044
c4,0,1,a,0.25,2.088413202727679e-05,0.006067441310733557
c4,0,1,a,0.125,0.0002848894218914211,0.021821673959493637
c4,0,1,b,0.5,0.013272860087454319,0.18915888667106628
c4,0,1,b,0.25,0.05853883922100067,0.35027238726615906
c4,0,1,b,0.125,0.13033191859722137,0.5580618977546692
c4,0,1,bp,0.5,0.020311400294303894,0.2251102328300476
c4,0,1,bp,0.25,0.0750446692109108,0.4058665931224823
c4,0,1,bp,0.125,0.15506023168563843,0.6525928974151611
c4,0,1,c,0.5,0.00814139749854803,0.10294219106435776
c4,0,1,c,0.25,0.03662988170981407,0.2909751236438751
c4,0,1,c,0.125,0.0852729082107544,0.48092707991600037
c4,0,1,d,0.5,0.0016588945873081684,0.045415494590997696
c4,0,1,d,0.25,0.01086199376732111,0.14188404381275177
c4,0,1,d,0.125,0.03140751272439957,0.29088521003723145
c4,0,2,a,0.5,6.44969695713371e-05,0.017421100288629532
c4,0,2,a,0.25,0.0012797100935131311,0.07027321308851242
c4,0,2,a,0.125,0.003865359351038933,0.12903794646263123
c4,0,2,b,0.5,0.010444216430187225,0.2384825050830841
c4,0,2,b,0.25,0.03286615386605263,0.456474632024765
c4,0,2,b,0.125,0.05800958722829819,0.6177206039428711
c4,0,2,bp,0.5,0.0178880263119936,0.3254067301750183
c4,0,2,bp,0.25,0.04092194512486458,0.5196120738983154
c4,0,2,bp,0.125,0.06242924928665161,0.6413636207580566
c4,0,2,c,0.5,0.008343133144080639,0.2112458348274231
c4,0,2,c,0.25,0.025194382295012474,0.3986911475658417
c4,0,2,c,0.125,0.046623751521110535,0.5500543713569641
c4,0,2,d,0.5,0.004333316348493099,0.14509354531764984
c4,0,2,d,0.25,0.010844657197594643,0.2665368616580963
c4,0,2,d,0.125,0.020162660628557205,0.39344659447669983
c4,0,3,a,0.5,0.0008912555640563369,0.06758469343185425
c4,0,3,a,0.25,0.003705610055476427,0.14108286798000336
c4,0,3,a,0.125,0.007255407981574535,0.20323264598846436
c4,0,3,b,0.5,0.012282507494091988,0.2803139388561249
c4,0,3,b,0.25,0.0312514565885067,0.4964196979999542
c4,0,3,b,0.125,0.05888371542096138,0.6433736085891724
c4,0,3,bp,0.5,0.018862424418330193,0.36889323592185974
c4,0,3,bp,0.25,0.04277434200048447,0.5621811747550964
c4,0,3,bp,0.125,0.0711861252784729,0.6838364005088806
c4,0,3,c,0.5,0.010656371712684631,0.2565933167934418
c4,0,3,c,0.25,0.02556726709008217,0.4492034614086151
c4,0,3,c,0.125,0.0475710928440094,0.5996124148368835
c4,0,3,d,0.5,0.0064233532175421715,0.18184204399585724
c4,0,3,d,0.25,0.014016691595315933,0.3170870840549469
c4,0,3,d,0.125,0.024858539924025536,0.45183876156806946
c4,0,4,a,0.5,0.0010211786720901728,0.06937410682439804
c4,0,4,a,0.25,0.005544384941458702,0.15640538930892944
c4,0,4,a,0.125,0.010567681863904,0.2153908610343933
c4,0,4,b,0.5,0.01681760512292385,0.3195771276950836
c4,0,4,b,0.25,0.04158765822649002,0.5209106206893921
c4,0,4,b,0.125,0.07219110429286957,0.6805499196052551
c4,0,4,bp,0.5,0.0247811209410429,0.3966541886329651
c4,0,4,bp,0.25,0.05333782732486725,0.5868208408355713
c4,0,4,bp,0.125,0.08799691498279572,0.7309547662734985
c4,0,4,c,0.5,0.013874761760234833,0.29049116373062134
c4,0,4,c,0.25,0.03320137783885002,0.46713992953300476
c4,0,4,c,0.125,0.059822745621204376,0.6144269108772278
c4,0,4,d,0.5,0.008455540984869003,0.20599651336669922
c4,0,4,d,0.25,0.016785958781838417,0.315163254737854
c4,0,4,d,0.125,0.027948202565312386,0.4189346730709076
c4,0,5,a,0.5,0.0016076760366559029,0.08909184485673904
c4,0,5,a,0.25,0.005913075990974903,0.16831526160240173
c4,0,5,a,0.125,0.01088305190205574,0.22167906165122986
c4,0,5,b,0.5,0.01908322423696518,0.28161466121673584
c4,0,5,b,0.25,0.04625888168811798,0.459076851606369
c4,0,5,b,0.125,0.08071334660053253,0.6033409237861633
c4,0,5,bp,0.5,0.028278373181819916,0.34959477186203003
c4,0,5,bp,0.25,0.05669087916612625,0.5190550684928894
c4,0,5,bp,0.125,0.09505206346511841,0.6439311504364014
c4,0,5,c,0.5,0.016924602910876274,0.2598767876625061
c4,0,5,c,0.25,0.038739316165447235,0.4180150032043457
c4,0,5,c,0.125,0.06696087121963501,0.5481557250022888
c4,0,5,d,0.5,0.011094995774328709,0.20622968673706055
c4,0,5,d,0.25,0.02151208370923996,0.30922314524650574
c4,0,5,d,0.125,0.03518424928188324,0.40368422865867615
c4,0,6,a,0.5,0.003383228089660406,0.11361738294363022
c4,0,6,a,0.25,0.010669664479792118,0.19172944128513336
c4,0,6,a,0.125,0.01899949461221695,0.24156905710697174
c4,0,6,b,0.5,0.024071019142866135,0.2790709137916565
c4,0,6,b,0.25,0.06867358088493347,0.4928210973739624
c4,0,6,b,0.125,0.13288137316703796,0.6754535436630249
c4,0,6,bp,0.5,0.0453396700322628,0.4007358253002167
c4,0,6,bp,0.25,0.10842074453830719,0.6169977188110352
c4,0,6,bp,0.125,0.20863878726959229,0.7956987023353577
c4,0,6,c,0.5,0.02310570888221264,0.2646214962005615
c4,0,6,c,0.25,0.06092693284153938,0.470863938331604
c4,0,6,c,0.125,0.11663994193077087,0.6320509314537048
c4,0,6,d,0.5,0.015886668115854263,0.21349477767944336
c4,0,6,d,0.25,0.032333340495824814,0.32291319966316223
c4,0,6,d,0.125,0.05517067387700081,0.4381122589111328
c4,0,7,a,0.5,0.0031616436317563057,0.11573463678359985
c4,0,7,a,0.25,0.011282002553343773,0.20158472657203674
c4,0,7,a,0.125,0.020113639533519745,0.2609293460845947
c4,0,7,b,0.5,0.026016734540462494,0.32448843121528625
c4,0,7,b,0.25,0.07994529604911804,0.5561832189559937
c4,0,7,b,0.125,0.15606877207756042,0.7143951058387756
c4,0,7,bp,0.5,0.050707630813121796,0.4571360945701599
c4,0,7,bp,0.25,0.1303904801607132,0.6723450422286987
c4,0,7,bp,0.125,0.23721560835838318,0.7947080731391907
c4,0,7,c,0.5,0.02306717447936535,0.2999339699745178
c4,0,7,c,0.25,0.06560540199279785,0.4984778165817261
c4,0,7,c,0.125,0.1297871619462967,0.6696573495864868
c4,0,7,d,0.5,0.017535965889692307,0.2529924213886261
c4,0,7,d,0.25,0.036397337913513184,0.3725584149360657
c4,0,7,d,0.125,0.06130610406398773,0.47835099697113037
c4,0,8,a,0.5,0.0040542492642998695,0.13787579536437988
c4,0,8,a,0.25,0.01323956809937954,0.20590756833553314
c4,0,8,a,0.125,0.02405209094285965,0.25708362460136414
c4,0,8,b,0.5,0.030488740652799606,0.33464840054512024
c4,0,8,b,0.25,0.08680489659309387,0.558319628238678
c4,0,8,b,0.125,0.16115710139274597,0.7211432456970215
c4,0,8,bp,0.5,0.05391572415828705,0.43091893196105957
c4,0,8,bp,0.25,0.12807920575141907,0.642018735408783
c4,0,8,bp,0.125,0.21986545622348785,0.7851395606994629
c4,0,8,c,0.5,0.026882577687501907,0.29815277457237244
c4,0,8,c,0.25,0.07219232618808746,0.5024771094322205
c4,0,8,c,0.125,0.13467666506767273,0.6574398279190063
c4,0,8,d,0.5,0.01940007135272026,0.2488165646791458
c4,0,8,d,0.25,0.04079364240169525,0.35620322823524475
