layer,floor_w,exact_w
0,7.603283599944e-09,4.318157317842464e-06
1,2.640859697589093e-09,0.00594771750752443
2,3.205536006772869e-09,1.143321109972021
3,8.417055420706365e-10,4.571536392642884
4,1.197749528031311e-09,6.091683665319579
5,5.486751808100876e-10,7.14009359353804
6,8.880648534256852e-10,9.22575705012423
7,5.729964705838975e-10,11.176148639176972
8,1.1415114461316156e-09,9.648575516010169
9,1.3182129398464637e-09,10.647470140364021
10,1.4323053472431457e-09,9.938393667456694
11,8.617518851283812e-10,12.229165974189527
12,1.0596340922763847e-09,11.201957048091572
13,1.1664461063709552e-09,9.225732863298617
14,1.0927078738370843e-09,10.259432906168513
15,1.0623736222334368e-09,15.762969800969586
16,1.1112293940920837e-09,14.210469419136643
17,9.779765469675183e-10,12.136892542475834
18,1.5455039717622576e-09,16.678286290029064
19,9.661005203297213e-10,14.13040392275434
20,8.702990442026326e-10,13.503205239248928
21,3.482373694962959e-10,12.556133192148991
22,1.191938329286879e-09,20.08883745665662
23,1.3086910357479331e-09,18.41921213705791
24,7.1559481213887e-10,17.384486310300417
25,4.148025616566853e-10,26.63756219705101
26,8.344545731481245e-10,29.181209535803646
27,8.812941088703896e-10,26.471854470204562
28,7.562055643131615e-10,30.56155506731011
29,7.900777202612952e-10,17.786964333732612
30,9.085113824441882e-10,21.012516927090473
31,2.3332551619958952e-09,19.178081662743352
