layer,rho,arm,p,mse_w,mse_u,rho_s,rho_s_u,n_seq
0,0.25,EXACT,64,4.318157317842464e-06,6.604646787644608e-06,1.0,1.0,64
0,0.25,NOPE,1,344.74029934965074,1061.2445221617818,79835048.60399522,160681495.35976166,64
0,0.25,OPT,4,21.275934527162462,16.891685235139448,4927086.477199685,2557545.5854412876,64
0,0.25,OPT-unw,4,170.55408322648145,30.673393067379948,39496959.15935216,4644213.998659403,64
0,0.25,PR-hi,4,319.81120611168444,1026.563381575048,74061962.6779776,155430474.11641338,64
0,0.25,PR-en,4,240.25211432250217,610.6448545893654,55637647.41265666,92456852.61045392,64
0,0.25,PR-2n,4,240.94399749161676,610.6958489725366,55797873.897749215,92464573.59611912,64
0,0.25,FOLD-mean,4,191.91386844892986,295.6243614165578,44443463.80247634,44760056.20309414,64
0,0.25,OPT-joint,4,18.848422946583014,15.907590042479569,4364922.711060581,2408545.1582722166,64
0,0.25,OPT-layer,4,32.151085813500686,16.787561677920166,7445556.85376575,2541780.3885174994,64
0,0.25,OPT,8,9.664993708131078,8.743640878805309,2238221.7683908106,1323861.9959453612,64
0,0.25,OPT-unw,8,102.55481635360047,21.52255043690093,23749671.168729268,3258698.175527482,64
0,0.25,PR-hi,8,297.75433153193444,990.441396269016,68954025.89934015,149961296.66189668,64
0,0.25,PR-en,8,179.00502364803106,400.8079111422412,41454030.15040444,60685745.056349926,64
0,0.25,PR-2n,8,178.6559496158734,404.05396586982533,41373191.494824365,61177225.49912797,64
0,0.25,FOLD-mean,8,108.18681829469278,154.30915557057597,25053931.64988893,23363725.651346557,64
0,0.25,OPT-joint,8,9.394088117900537,8.597249541300698,2175485.38101762,1301697.0956544832,64
0,0.25,OPT-layer,8,17.54847273560881,11.473664145654766,4063879.901526325,1737210.8629819064,64
0,0.25,OPT,16,3.913290879696433,3.6832571496306628,906240.9244625855,557676.6279948499,64
0,0.25,OPT-unw,16,42.55829279313912,15.005834983137902,9855660.565512482,2272011.7313782014,64
0,0.25,PR-hi,16,252.6503922669217,895.2404029686004,58508843.858694024,135547052.2122905,64
0,0.25,PR-en,16,105.65676453337073,209.7678853473626,24468021.13873919,31760651.5672841,64
0,0.25,PR-2n,16,105.23591838590801,214.03280791500583,24370561.47794272,32406397.313388444,64
0,0.25,FOLD-mean,16,58.611427856085356,86.1664395427797,13573249.778072035,13046335.756209143,64
0,0.25,OPT-joint,16,3.7038317611732055,3.7556324774013774,857734.3270633314,568634.8715009384,64
0,0.25,OPT-layer,16,7.038351729846909,6.173370493153925,1629943.3327184964,934701.0811694765,64
0,0.25,OPT,32,0.39303369965000456,0.4578581433825093,91018.84686461146,69323.63805419997,64
0,0.25,OPT-unw,32,14.487331157419248,6.614701175327355,3354979.9349732213,1001522.3202702611,64
0,0.25,PR-hi,32,119.51034336071461,526.4885225561447,27676236.543514144,79714864.31962617,64
0,0.25,PR-en,32,31.440744572202675,50.68574088963214,7281055.843493868,7674254.584582868,64
0,0.25,PR-2n,32,30.463688785559498,50.422142235096544,7054789.0091184685,7634343.494253447,64
0,0.25,FOLD-mean,32,22.957512456108816,44.30512323131552,5316506.733381213,6708174.51043675,64
0,0.25,OPT-joint,32,0.37523155342933023,0.47543085604866064,86896.2211911288,71984.29701616366,64
0,0.25,OPT-layer,32,1.0807654107829876,1.2858320807590644,250283.93623300974,194685.97218014533,64
0,0.125,EXACT,64,6.061737884266449e-05,7.434060038269408e-05,1.0,1.0,64
0,0.125,NOPE,1,344.74017722625285,1061.2445760071278,5687150.843672136,14275437.251569163,64
0,0.125,OPT,4,21.276007728331024,16.891721923981095,350988.58008285036,227220.68206370523,64
0,0.125,OPT-unw,4,170.55375221709255,30.673382662178483,2813611.4670971427,412606.06592194014,64
0,0.125,PR-hi,4,319.81117560807616,1026.5635630022734,5275899.118603634,13808922.146413678,64
0,0.125,PR-en,4,240.25204284628853,610.6447463668883,3963418.534969567,8214148.705059984,64
0,0.125,PR-2n,4,240.94390740664676,610.6956950929016,3974832.1687090592,8214834.046929044,64
0,0.125,FOLD-mean,4,191.9136453785468,295.62420639861375,3165983.8983910615,3976618.4948303537,64
0,0.125,OPT-joint,4,18.84849399700761,15.907652871130267,310942.0822356875,213983.37905855072,64
0,0.125,OPT-layer,4,32.151090327010024,16.78762198210461,530393.9388481284,225820.37131371675,64
0,0.125,OPT,8,9.665066642919555,8.743695581753855,159443.82333003427,117616.6931225016,64
0,0.125,OPT-unw,8,102.55454208760057,21.52256441867212,1691833.9929178746,289512.92171272816,64
0,0.125,PR-hi,8,297.75425746757537,990.4415251472965,4912027.922560158,13323022.951774057,64
0,0.125,PR-en,8,179.0049566393718,400.8078810586594,2953030.3034710283,5391507.184437058,64
0,0.125,PR-2n,8,178.65589157678187,404.053930955939,2947271.805343025,5435171.748357303,64
0,0.125,FOLD-mean,8,108.18676138261799,154.3091325953137,1784748.2594623938,2075704.6862811684,64
0,0.125,OPT-joint,8,9.394155145710101,8.59730126686918,154974.6182541662,115647.45539599606,64
0,0.125,OPT-layer,8,17.548503786762012,11.473728965269402,289496.24879541644,154340.00944577248,64
0,0.125,OPT,16,3.9133711719150597,3.6833103229728295,64558.567965672264,49546.41614422952,64
0,0.125,OPT-unw,16,42.558267469052225,15.00586666201707,702080.2991088477,201852.91193196122,64
0,0.125,PR-hi,16,252.6503181378357,895.2405965798534,4167951.880492928,12042418.166806446,64
0,0.125,PR-en,16,105.65672424342483,209.76791618205607,1743010.4412409891,2821714.044575949,64
0,0.125,PR-2n,16,105.23587617836893,214.03285774355754,1736067.7447224173,2879084.3313310496,64
0,0.125,FOLD-mean,16,58.61136576504214,86.16640145657584,966906.9643735493,1159075.942526753,64
0,0.125,OPT-joint,16,3.703908778858022,3.7556844366663427,61103.083795023646,50519.96375241324,64
0,0.125,OPT-layer,16,7.038401175799663,6.173431073526444,116111.935391799,83042.5237588419,64
0,0.125,OPT,32,0.3930940575146451,0.45791992502836365,6484.840899091675,6159.75553965211,64
0,0.125,OPT-unw,32,14.48731440303527,6.614751550208894,238996.05492078164,88978.99016361397,64
0,0.125,PR-hi,32,119.51036938978359,526.488859473262,1971552.9056440871,7082117.399684393,64
0,0.125,PR-en,32,31.440730997361243,50.685817507561296,518675.1983942966,681805.3290750738,64
0,0.125,PR-2n,32,30.463705136382487,50.422252811375074,502557.28172365535,678259.9622791449,64
0,0.125,FOLD-mean,32,22.957643728819676,44.305145712627564,378730.3932822205,595975.0860842047,64
0,0.125,OPT-joint,32,0.3752948670507976,0.4754934851071084,6191.209092443516,6396.14803565401,64
0,0.125,OPT-layer,32,1.080823725385926,1.2859020072155545,17830.261651386467,17297.439092446482,64
1,0.25,EXACT,64,0.00594771750752443,0.007014047181939986,1.0,1.0,64
1,0.25,NOPE,1,937.8739646160975,3694.542153368471,157686.36681711892,526734.7164246781,64
1,0.25,OPT,4,25.538273123675026,64.36670241280808,4293.793895114668,9176.82769208364,64
1,0.25,OPT-unw,4,768.143486729823,109.63079262874089,129149.28890924093,15630.176100186793,64
1,0.25,PR-hi,4,903.8613502206281,3605.562670502346,151967.7673119406,514048.8190307694,64
1,0.25,PR-en,4,669.9284231234342,2353.9341310341842,112636.22091599186,335602.8367039184,64
1,0.25,PR-2n,4,664.5298619288951,2345.098575145472,111728.55151378682,334343.14231357235,64
1,0.25,FOLD-mean,4,479.87670079339296,1344.7521505434997,80682.49714050863,191722.71238864982,64
1,0.25,OPT-joint,4,25.51501405678573,64.29055657773279,4289.883308093702,9165.971501199814,64
1,0.25,OPT-layer,4,50.83511074108537,63.65804677037522,8546.994822261498,9075.793920275328,64
