layer,head,rho,arm,p,mse_w,mse_u
0,0,0.25,EXACT,64,6.166456543610366e-06,9.475916172618781e-06
0,1,0.25,EXACT,64,1.0534404468742764e-06,1.6193030791811225e-06
0,2,0.25,EXACT,64,1.2515774834298554e-06,1.4746032643842e-06
0,3,0.25,EXACT,64,3.307985643630218e-06,7.1562230274935246e-06
0,4,0.25,EXACT,64,8.803255234113294e-06,1.22575783478851e-05
0,5,0.25,EXACT,64,7.245903939079312e-07,1.4211546233156014e-06
0,6,0.25,EXACT,64,3.037663883986852e-06,5.201207933680507e-06
0,7,0.25,EXACT,64,4.365421702345884e-06,4.9381107558588155e-06
0,8,0.25,EXACT,64,2.1930747564624653e-06,5.1609024858123576e-06
0,9,0.25,EXACT,64,1.063719624028181e-05,1.5856440185757492e-05
0,10,0.25,EXACT,64,2.670788870062779e-06,3.661415657774114e-06
0,11,0.25,EXACT,64,1.019996363993414e-05,1.436823669109799e-05
0,12,0.25,EXACT,64,3.219401630616403e-06,7.713330226977178e-06
0,13,0.25,EXACT,64,2.9984548994832494e-06,3.2813006711762682e-06
0,14,0.25,EXACT,64,1.1561825337125242e-06,1.4981444245165676e-06
0,15,0.25,EXACT,64,3.4419499002069642e-06,8.510978254605561e-06
0,16,0.25,EXACT,64,3.792107335698347e-06,4.905336883354039e-06
0,17,0.25,EXACT,64,1.385645894913523e-06,2.1929960904998325e-06
0,18,0.25,EXACT,64,3.6744074662919957e-06,7.596101120554977e-06
0,19,0.25,EXACT,64,3.924754576445366e-06,8.85733228983554e-06
0,20,0.25,EXACT,64,1.070805721425927e-06,1.6992274591842715e-06
0,21,0.25,EXACT,64,7.146661906709539e-07,3.5629412487026e-06
0,22,0.25,EXACT,64,2.468201317995522e-06,6.489291109801343e-06
0,23,0.25,EXACT,64,5.1518062420541355e-06,4.666525438068447e-06
0,24,0.25,EXACT,64,4.816084221204164e-06,5.715836813635633e-06
0,25,0.25,EXACT,64,1.1034808537147e-05,1.4494879224002943e-05
0,26,0.25,EXACT,64,2.6641005490546377e-06,5.89747870805013e-06
0,27,0.25,EXACT,64,4.810828954759927e-06,6.36888336202901e-06
0,28,0.25,EXACT,64,1.7756210244357362e-06,2.448281755107473e-06
0,29,0.25,EXACT,64,9.192387139478342e-06,1.1596762305998709e-05
0,30,0.25,EXACT,64,1.3766068818199528e-05,1.7865802547589738e-05
0,31,0.25,EXACT,64,2.71133637852472e-06,3.3961750460775875e-06
0,0,0.25,NOPE,1,715.0883550643921,915.7081422805786
0,1,0.25,NOPE,1,72.28695970773697,135.0488748550415
0,2,0.25,NOPE,1,23.57637983560562,26.021058678627014
0,3,0.25,NOPE,1,640.0019693374634,2497.205192565918
0,4,0.25,NOPE,1,342.3383560180664,519.4048357009888
0,5,0.25,NOPE,1,61.85844451189041,89.25200057029724
0,6,0.25,NOPE,1,298.07633781433105,591.3066644668579
0,7,0.25,NOPE,1,387.1004390716553,289.1666040420532
0,8,0.25,NOPE,1,335.53172874450684,1031.3388500213623
0,9,0.25,NOPE,1,170.72438430786133,229.26632237434387
0,10,0.25,NOPE,1,183.25859928131104,290.61864018440247
0,11,0.25,NOPE,1,229.2961826324463,289.29513025283813
0,12,0.25,NOPE,1,779.0446577072144,2085.892261505127
0,13,0.25,NOPE,1,113.56720900535583,81.75340855121613
0,14,0.25,NOPE,1,50.357065081596375,70.57156658172607
0,15,0.25,NOPE,1,914.5771026611328,3982.3215522766113
0,16,0.25,NOPE,1,313.34197998046875,474.7265272140503
0,17,0.25,NOPE,1,62.182143449783325,88.87729609012604
0,18,0.25,NOPE,1,791.3012762069702,2110.8480911254883
0,19,0.25,NOPE,1,514.6875295639038,1963.733449935913
0,20,0.25,NOPE,1,113.52030789852142,149.8968164920807
0,21,0.25,NOPE,1,553.5162215232849,465.08059310913086
0,22,0.25,NOPE,1,124.50865077972412,353.678747177124
0,23,0.25,NOPE,1,192.09571433067322,280.2507061958313
0,24,0.25,NOPE,1,281.4782109260559,185.9007124900818
0,25,0.25,NOPE,1,1000.3145008087158,6823.816841125488
0,26,0.25,NOPE,1,612.2073268890381,1640.240231513977
0,27,0.25,NOPE,1,141.02437734603882,134.53352677822113
0,28,0.25,NOPE,1,120.27136707305908,186.6909761428833
0,29,0.25,NOPE,1,477.55260848999023,5493.399353027344
0,30,0.25,NOPE,1,247.3520016670227,255.68366885185242
0,31,0.25,NOPE,1,169.6511914730072,228.29606699943542
0,0,0.25,OPT,4,10.840490713715553,8.832931704819202
0,1,0.25,OPT,4,202.17523350566626,3.820243366062641
