Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:06<00:06,  6.43s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:08<00:00,  3.97s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:08<00:00,  4.34s/it]
states built 170s
1/110 c4-2048 len=2048 89s
2/110 c4-2048 len=2048 177s
3/110 c4-2048 len=2048 265s
4/110 c4-2048 len=2048 353s
5/110 c4-2048 len=2048 442s
6/110 c4-2048 len=2048 530s
7/110 c4-2048 len=2048 618s
8/110 c4-2048 len=2048 721s
9/110 c4-2048 len=2048 810s
10/110 c4-2048 len=2048 898s
11/110 c4-2048 len=2048 987s
12/110 c4-2048 len=2048 1112s
13/110 c4-2048 len=2048 1201s
14/110 c4-2048 len=2048 1289s
15/110 c4-2048 len=2048 1445s
16/110 c4-2048 len=2048 1567s
17/110 c4-2048 len=2048 1655s
18/110 c4-2048 len=2048 1744s
19/110 c4-2048 len=2048 1832s
20/110 c4-2048 len=2048 1920s
21/110 c4-2048 len=2048 2008s
22/110 c4-2048 len=2048 2096s
23/110 c4-2048 len=2048 2184s
24/110 c4-2048 len=2048 2272s
25/110 c4-2048 len=2048 2360s
26/110 c4-2048 len=2048 2448s
27/110 c4-2048 len=2048 2536s
28/110 c4-2048 len=2048 2625s
29/110 c4-2048 len=2048 2713s
30/110 c4-2048 len=2048 2801s
31/110 c4-2048 len=2048 2889s
32/110 c4-2048 len=2048 2977s
33/110 c4-2048 len=2048 3065s
34/110 c4-2048 len=2048 3153s
35/110 c4-2048 len=2048 3241s
36/110 c4-2048 len=2048 3329s
37/110 c4-2048 len=2048 3418s
38/110 c4-2048 len=2048 3506s
39/110 c4-2048 len=2048 3594s
40/110 c4-2048 len=2048 3682s
41/110 c4-2048 len=2048 3770s
42/110 c4-2048 len=2048 3858s
43/110 c4-2048 len=2048 3946s
44/110 c4-2048 len=2048 4034s
45/110 c4-2048 len=2048 4122s
46/110 c4-2048 len=2048 4211s
47/110 c4-2048 len=2048 4299s
48/110 c4-2048 len=2048 4387s
49/110 c4-2048 len=2048 4475s
50/110 c4-2048 len=2048 4563s
51/110 c4-4096 len=4096 4910s
52/110 c4-4096 len=4096 5257s
53/110 c4-4096 len=4096 5604s
54/110 c4-4096 len=4096 5951s
55/110 c4-4096 len=4096 6298s
56/110 c4-4096 len=4096 6644s
57/110 c4-4096 len=4096 6991s
58/110 c4-4096 len=4096 7338s
59/110 c4-4096 len=4096 7685s
60/110 c4-4096 len=4096 8031s
61/110 gsm8k len=1448 8076s
62/110 gsm8k len=1406 8118s
63/110 gsm8k len=1437 8162s
64/110 gsm8k len=1413 8206s
65/110 gsm8k len=1514 8255s
66/110 gsm8k len=1434 8299s
67/110 gsm8k len=1423 8343s
68/110 gsm8k len=1448 8388s
69/110 gsm8k len=1487 8436s
70/110 gsm8k len=1439 8481s
71/110 gsm8k len=1439 8525s
72/110 gsm8k len=1445 8570s
73/110 gsm8k len=1446 8615s
74/110 gsm8k len=1443 8660s
75/110 gsm8k len=1435 8704s
76/110 gsm8k len=1482 8752s
77/110 gsm8k len=1431 8797s
78/110 gsm8k len=1435 8841s
79/110 gsm8k len=1406 8883s
80/110 gsm8k len=1443 8928s
81/110 gsm8k len=1447 8973s
82/110 gsm8k len=1429 9017s
83/110 gsm8k len=1440 9061s
84/110 gsm8k len=1421 9105s
85/110 gsm8k len=1419 9149s
86/110 gsm8k len=1448 9194s
87/110 gsm8k len=1452 9239s
88/110 gsm8k len=1443 9283s
89/110 gsm8k len=1427 9328s
90/110 gsm8k len=1452 9373s
91/110 gsm8k len=1416 9416s
92/110 gsm8k len=1440 9460s
93/110 gsm8k len=1416 9504s
94/110 gsm8k len=1411 9548s
95/110 gsm8k len=1431 9592s
96/110 gsm8k len=1428 9636s
97/110 gsm8k len=1423 9680s
98/110 gsm8k len=1441 9725s
99/110 gsm8k len=1419 9769s
100/110 gsm8k len=1452 9814s
101/110 gsm8k len=1427 9858s
102/110 gsm8k len=1521 9907s
103/110 gsm8k len=1464 9952s
104/110 gsm8k len=1445 9997s
105/110 gsm8k len=1465 10043s
106/110 gsm8k len=1479 10090s
107/110 gsm8k len=1476 10138s
108/110 gsm8k len=1432 10182s
109/110 gsm8k len=1413 10225s
110/110 gsm8k len=1422 10269s
