arm,median_ratio,max_ratio,worst_layer,mean_relL2,mean_kl
EXACT,1.0,1.0,0,0.18778371581995748,0.016207792629781052
OPT/32,1.0121092721421787,35.62574481055761,0,0.19078044188446996,0.016806412970584987
OPT/16,1.097609661049428,139.08534245120416,0,0.21493287881180134,0.02104101062438774
PR-2n/32,1.3288515202437832,1276.14175575595,0,0.2772330427034334,0.04345679931787092
PR-en/32,1.3388542209737646,1124.353653850364,0,0.27983844920315526,0.04440279030399816
OPT/8,1.4206677527801315,234.17500056193077,0,0.28693162194051014,0.03316290903603654
PR-2n/16,1.7238940861320575,1931.1043579446334,0,0.4153664128050547,0.09575488261074164
PR-en/16,1.759068357452327,1934.0301028168897,0,0.41695669102905825,0.09925737814363934
PR-2n/8,2.3573505235949894,2386.249164096993,0,0.6658759236166424,0.20450842430899763
PR-en/8,2.419597616539884,2364.280299167258,0,0.6728104696101086,0.20866605061191046
FOLD-mean/32,3.2105656447657624,642.667854669005,0,0.6283440769269046,0.3173150085082108
FOLD-mean/16,4.329195863315431,1317.2288901943614,0,0.8628712246448479,0.5165855320382187
FOLD-mean/8,4.596225859349737,2767.6713480270855,0,1.0264887314797801,0.6849692259999838
PR-hi/32,4.658171619102696,927.8280909470369,0,0.9624295572496273,0.6313849260988222
PR-hi/16,6.844686040336802,2045.6784066016173,0,1.5110405283726074,1.3908079704862426
PR-hi/8,6.993848940107643,2432.262373264098,0,1.5588891587304798,1.4912853113121607
NOPE,7.034377452691053,2875.281719287272,0,1.5795105764303694,1.51687534453178
